lemmas,label
"['não', 'anti-lgbt', 'só', 'argumento', 'naturalista', 'animal', 'existir', 'lei', 'mal', 'forte', 'dever', 'trazê-la', 'sociedade', 'humano', 'não', 'pessoa', 'só', 'perceber', 'amar', 'querer', 'prender', 'sofrer', 'consequência', 'político']",1
"['convenientemente', 'lembraram', 'agora', 'agora', 'gay', 'tram', 'bi', 'fluido', 'moda', 'certamente']",1
"['infelizmente', 'ainda', 'mau', 'gente', 'achar', 'direito', 'intervir', 'vida', 'humano']",0
"['lá', 'legal', 'não', 'querer', 'dizer', 'normal']",1
"['mal', 'vivo', 'liberdade', 'direito']",0
"['cor', 'distúrbio', 'mental']",1
"['heterofobia', 'mentira', 'reclamar', 'tanto', 'bandeira', 'só', 'achar', 'superior', 'achar', 'direito', 'exijo', 'bandeira', 'portuguÃª', 'agora', 'bandeira', 'ideologia', 'não']",1
"['sim', 'tolerância', 'sempre']",0
"['digam', 'não', 'mutilação', 'humano']",0
"['igual', 'lei']",0
"['incomoda', 'manifestação', 'sexualidade', 'excluir', 'violência', 'obviamente', 'ponto', 'querer', 'agredir', 'ofender', 'pessoa', 'causa', 'doente', 'precisar', 'tratamento', 'não', 'olhar', 'sexualidade', 'prisma', 'amor', 'preconceito', 'deixar', 'lugar']",0
"['feliz', 'dia', 'internacional', 'homofobia', 'bifobia', 'transfobia', 'também']",0
"['anormal', 'virar', 'normal', 'mundo', 'mesmo', 'acabar']",1
"['educar', 'empatia', 'respeito', 'amor', 'basta']",0
['palhaçado'],1
"['respeito', 'diferença', 'base', 'sociedade', 'mal', 'justo']",0
"['mundo', 'poder', 'amar', 'livremente']",0
"['direito', 'lgbtq+', 'direito', 'humano']",0
"['celebrar', 'orgulho', 'celebrar', 'liberdade']",0
"['inclusão', 'nã³', 'tornar', 'sociedade', 'mal', 'rico', 'humano']",0
"['diversidade', 'grande', 'força']",0
"['medo', 'impeça', 'amor', 'verdadeiro']",0
"['vieste', 'ler', 'caixa', 'comentário', 'lgbtqia+', 'está', 'mal', 'mal', 'vez', 'identidade', 'sexual', 'insultado', 'comentário', 'ódio', 'lembrar', 'pessoa', 'não', 'literacia', 'não', 'estudaram', 'área', 'ciência', 'lado', 'cá', 'pessoa', 'lado', 'certo.nunca', 'comento', 'caixa', 'hoje', 'dia', 'lgbtqiafobia', 'decidir', 'abraço', 'local', 'cheio', 'pontapé', 'não', 'esqueça', 'sê', 'sempre', 'mal', 'importante', 'sê', 'feliz']",0
"['texto', 'bonito', 'orgulho', 'amor', 'sentir', 'pessoa', 'louvável', 'afinal', 'amar', 'amado', 'muito', 'bom', 'amigo', 'amigo', 'homossexual', 'admirar', 'respeito', 'nunca', 'precisar', 'particularmente', 'marcha', 'orgulho', 'gay', 'conseguir', 'respeito', 'admiração', 'pessoa', 'inclusive', 'dentro', 'família', 'tipo', 'marcha', 'simplesmente', 'virar', 'deboche', 'querer', 'respeito', 'não', 'respeitam', 'baixaria', 'não', 'vir', 'dizer', 'é.']",0
"['texto', 'bonito', 'orgulho', 'amor', 'sentir', 'pessoa', 'louvável', 'afinal', 'amar', 'amado', 'muito', 'bom', 'amigo', 'amigo', 'homossexual', 'admirar', 'respeito', 'nunca', 'precisar', 'particularmente', 'marcha', 'orgulho', 'gay', 'conseguir', 'respeito', 'admiração', 'pessoa', 'inclusive', 'dentro', 'família', 'tipo', 'marcha', 'simplesmente', 'virar', 'deboche', 'querer', 'respeito', 'não', 'respeitam', 'baixaria', 'não', 'vir', 'dizer', 'é.']",1
"['estudar', 'história', 'comunidade', 'lgbtqia', 'perceber', 'motivo', 'iniciar', 'primeiro', 'marcha', 'importante', 'não', 'viver', 'bolha', 'amigo', 'não', 'precisar', 'marchar', 'garantir', 'conquistar', 'ano', 'luta', 'marcha', 'mundo', 'não', 'tornar', 'fantasia', 'doil', 'segundo', 'viverem', 'coisa', 'acontecer', 'dentro', 'contexto', 'relativamente', 'termo', 'deboche', 'aconselho', 'verificar', 'significado', 'palavra', 'educação', 'respeito', 'estão', 'disponívil', 'dicionário', 'senso', 'comum', 'moral']",0
"['amigo', 'nunca', 'precisar', 'muito', 'bom', 'inegável', 'dar', 'primeiro', 'passo', 'defesa', 'direito', 'gente', 'lançou', 'frente', 'dar', 'visibilidade', 'gente', 'sofrer', 'pele', 'discriminação', 'ódio', 'tortura', 'prisão', 'violência', 'morte', 'amigo', 'gozarem', 'agora', 'estado', 'graça', 'posso', 'dizer', 'razõe', 'diverso', 'nunca', 'participar', 'ainda', 'evento', 'necessário', 'infelizmente', 'ainda', 'é.', 'basta', 'ver', 'ir', 'mundo', 'não', 'bonito', 'cuspir', 'prato', 'comer', 'gente', 'fazer', 'alto', 'presunção', 'conquista', 'derivar', 'suor', 'mal', 'respeito', 'marcha', 'não', 'velório', 'fazer', 'respeitar', 'mal', 'desrespeitado', 'ousadia', 'pessoa', 'optar', 'expressar', 'forma', 'entender', 'mal', 'adequar', 'ponto', 'vista', 'passar', 'mensagem', 'deixemo', 'ajuizar', 'forma', 'luta', 'coletivo', 'também', 'individual']",0
"['achar', 'todo', 'direito', 'manifestar', 'não', 'interfiram', 'direito', 'heterossexual', 'opinião', 'aqui', 'fico']",0
['exibicionismo'],0
"['agora', 'faltar', 'marcha', 'hetero', 'lol', 'forma', 'não', 'preciso', 'esfregar', 'marcha', 'não', 'servir']",0
"['não', 'opção', 'já', 'dizer', 'repetir', 'centena', 'vez', 'estivesse', 'atento', 'não', 'usavo', 'mal', 'termo', 'não', 'caso', 'opção', 'pessoa', 'não', 'é.', 'característico', 'nascer']",0
"['palhaçado', 'fazer', 'marcha', 'aparecerem', 'média']",1
"['sejam', 'lá', 'feliz', 'não', 'chateiem']",1
['triste'],1
"['lema', 'verdadeiro', 'simpl', 'facto', 'não', 'caber', 'mal', 'armário', 'lema', 'dever', 'saiam', 'armário', 'enfrentem', 'preconceito', 'gente', 'cá', 'dispor', 'vã³', 'acolher', 'libertem']",0
"['frente', 'ucrânia', 'lindo']",1
"['misturar', 'tema', 'apena', 'não', 'capacidade', 'cognitivo', 'perceber', 'facto', 'grupo', 'merecer', 'liberdade', 'não', 'invalido', 'necessidade', 'liberdade']",0
"['gente', 'não', 'plástico', 'desculpa', 'lá', 'cabelo', 'mãe', 'fazer', 'assim', 'fazer', 'china', 'daí', 'tão', 'besta', 'poliéster']",0
['peruca'],0
"['cala', 'peruca', 'dizer']",0
"['ideia', 'geral', 'jeito', 'tropa', 'agora', 'digam', 'iria', 'ficar', 'peruca', 'caso', 'tropa']",0
['parvoíce'],1
"['não', 'aqui', 'interessado', 'organizar', 'tuga', 'pride', 'white', 'pride', 'not', 'competitive', 'people', 'pride', 'catolican', 'pride', 'enfim', 'correr', 'sério', 'risco', 'mundo', 'pós-moderno', 'modo', 'lutar', 'agenda', 'impositivo', 'doente', 'orgulho', 'não', 'escolhe', 'muito', 'frente']",1
"['concordo', 'totalmente', 'lésbico', 'homem', 'também', 'lésbico', 'homem', 'maravilhoso']",0
"['comentário', 'retrógrado', 'hipócra', 'homem', 'família', 'mundo', 'ficar', 'muito', 'chato']",0
"['querer', 'impor', 'ideologia', 'perverso', 'vivam', 'vida', 'querer', 'deixar', 'criança', 'paz']",1
"['carnaval', 'julho', 'esquisito']",1
"['bando', 'ridículo']",1
"['dever', 'sempre', 'querer']",0
"['agora', 'carnaval', 'fim', 'semana', 'matrafÃ£o']",1
['horror'],1
"['abriram', 'porta', 'manicómio', 'perder', 'chave', 'paciência', 'manifestar', 'já', 'não', 'fazer', 'dizer', 'então']",1
"['fazer', 'filho', 'quieto', 'importar', 'geração']",1
"['excelente', 'heterossexual', 'vã³']",0
"['narcisismo', 'exacerbado']",1
['palhaçado'],1
"['vergonha', 'comentário']",0
"['comentário', 'post', 'mostrar', 'porquê', 'necessidade', 'pride']",0
['amor'],0
"['parecer', 'carnaval']",1
"['sigo', 'frente', 'ucrânia']",1
['vivaaaaaaa'],0
"['poil', 'já', 'não', 'pedófilo', 'sexualmente', 'atrair', 'pequeno']",1
"['fuck', 'yeah']",0
"['bom', 'coisa', 'não', 'reproduzem']",1
"['armário', 'ofensa', 'valor', 'humanidade', 'raio', 'partam']",1
"['ide', 'trabalhar', 'pagar', 'terapia', 'precisal', 'vivam', 'querer', 'impor', 'vossa', 'vontade', 'decisõe', 'paranoia', 'chega', 'atirar', 'choro', 'limitar', 'simplesmente', 'punir', 'mundo', 'desordem', 'psíquico']",1
"['não', 'ligação', 'direto', 'lgbt', 'possível', 'respeitar', 'vez', 'ligar', 'então', 'não']",1
['deficiente'],1
"['querer', 'enfiar', 'lugar', 'tratem', 'apena', 'mau', 'doente', 'não', 'querer', 'tratar']",1
"['doença', 'mental', 'retiraram', 'doença', 'mental', 'claramente', 'dúvido', 'doença', 'mental', 'grave', 'desvio', 'personalidade']",1
"['aberração', 'bico', 'pé', 'não', 'passar', 'circo', 'manifestarem', 'preferência', 'cama', 'felizmente', 'assim', 'critique', 'espetáculo', 'triste']",1
"['não', 'medo', 'vergonha', 'incomoda', 'rabo', 'prender']",0
"['fd', 'tomaro', 'fizessem', 'genocídio', 'vez', 'manifestaçõe']",1
