texto,label
"Infelizmente, está ainda pior. Há gente que acha que tem direito de intervir na vida de cada ser humano.",0
Lá por ser legal não quer dizer que seja normal.,1
Nem mais — viva a liberdade e os direitos.,0
As cores do distúrbio mental.,1
"Isto é heterofobia. Se é mentira, porque reclamam tanto a vossa bandeira? Só quem se acha superior aos outros é que acha que tem mais direitos do que os outros. Eu exijo é a bandeira portuguesa 🇵🇹. Agora bandeiras de ideologias, não.",1
"👏👏👏 Sim à tolerância, sempre!",0
Digam não à mutilação de seres humanos.,0
Todos iguais perante a lei.,0
"Se te incomoda a manifestação da sexualidade de alguém (excluindo a violência, obviamente), ao ponto de quereres agredir ou ofender essa pessoa por causa disso, quem está doente e precisa de tratamento és tu, não ela. Quando olharmos para a sexualidade sob o prisma do amor, os preconceitos deixarão de ter lugar. 🌈",0
"❤️ Feliz Dia Internacional contra a Homofobia, Bifobia e Transfobia — também para vocês! ❤️🏳️‍🌈👏👏👏",0
O anormal virou normal. 🤦🏻‍♀️ O mundo está mesmo a acabar.,1
"Educar para a empatia, o respeito e o amor! Basta isso. ❤️❤️",0
Palhaçada.,1
O respeito pelas diferenças é a base de uma sociedade mais justa.,0
Por um mundo onde todos possam amar livremente.,0
Os direitos LGBTQ+ são direitos humanos.,0
Celebrar o Orgulho é celebrar a liberdade.,0
A inclusão torna-nos uma sociedade mais rica e humana.,0
A diversidade é a nossa maior força.,0
Que nenhum medo impeça o amor verdadeiro.,0
"Tu que vieste ler esta caixa de comentários, que és LGBTQIA+, que estás mal porque mais uma vez a tua identidade sexual é insultada nestes comentários de ódio, lembra-te: são pessoas que não têm literacia, que não estudaram esta área. A ciência está do teu lado. Estamos cá e somos muitas pessoas, do lado certo.Nunca comento estas caixas mas hoje, no dia contra a LGBTQIAfobia, decidi ser um abraço num local cheio de pontapés. Não te esqueças, sê sempre quem és. mas mais importante, sê feliz ❣️",0
"Que texto bonito, ter orgulho no amor que se sente por outra pessoa é louvável, afinal amar e ser amado é muito bom. Tenho amigos e amigas homossexuais que admiro, respeito e nunca precisaram particularmente dessa “marcha do orgulho gay” para conseguirem respeito e admiração das pessoas, inclusive dentro da própria família. Esse tipo de marcha simplesmente virou um deboche para vocês mesmos. Querem respeito, mas não se respeitam, é uma baixaria, e não venham dizer que isso é.",0
"Que texto bonito, ter orgulho no amor que se sente por outra pessoa é louvável, afinal amar e ser amado é muito bom. Tenho amigos e amigas homossexuais que admiro, respeito e nunca precisaram particularmente dessa “marcha do orgulho gay” para conseguirem respeito e admiração das pessoas, inclusive dentro da própria família. Esse tipo de marcha simplesmente virou um deboche para vocês mesmos. Querem respeito, mas não se respeitam, é uma baixaria, e não venham dizer que isso é.",1
"Estudar a história da comunidade LGBTQIA, perceber quando, como e por que motivo iniciou a primeira marcha é importante. Não vivemos numa bolha. Se os teus amigos não precisam de marchar, é porque aquilo que têm como garantido foi conquistado por anos de luta e marcha. O mundo não se tornou numa fantasia em dois segundos para eles viverem. As coisas acontecem dentro de um contexto. Relativamente ao termo “deboche”, aconselho a verificar o significado da palavra educação e respeito — estão disponíveis em qualquer dicionário e são ambas de senso comum e moral.",0
"Se os teus amigos nunca precisaram, isso é muito bom para eles. Mas é inegável que alguém teve de dar o primeiro passo na defesa dos direitos de todos. Muita gente lançou-se à frente para ter e dar visibilidade; muita gente sofreu na pele a discriminação, o ódio, a tortura, a prisão, a violência e a morte para os teus amigos gozarem agora de um certo estado de graça. Posso dizer que, por razões diversas, nunca participei ainda num evento destes, mas ele é necessário. Infelizmente ainda é. Basta ver o que vai pelo mundo. Não é bonito cuspir no prato em que se come, algo que muita gente faz do alto da sua presunção, quando as conquistas derivam do suor dos outros. Quanto ao mais ou menos respeito, essas marchas não têm de ser um velório para se fazerem respeitar mais. Nem têm de ser desrespeitadas porque há ousadia de algumas pessoas que optam por se expressar da forma que entendem mais adequada, do seu ponto de vista, para passar uma mensagem. Deixemos de ajuizar os outros dessa forma. As lutas são coletivas, mas também individuais.",0
Acho que têm todo o direito de se manifestar! Desde que não interfiram no direito de ser heterossexual e ter opinião! E por aqui fico!,0
Exibicionismo.,0
"Agora falta a marcha dos heteros lol. Cada um com a sua forma de ser, não é preciso esfregar com marchas que não servem para nada.",0
"Não é opção. Isto já foi dito e repetido centenas de vezes. Se estivesses atento, não usavas mal os termos. A não ser que, no teu caso, seja “opção”; nas outras pessoas não é. É uma característica com que se nasce.",0
Palhaçada fazerem marcha para aparecerem nos média 🤦‍♀️🤦‍♀️,1
Sejam lá felizes e não me chateiem...,1
Uns tristes.,1
"O lema é verdadeiro pelo simples facto de que não cabe mais ninguém nesse armário. O lema deveria ser: saiam do armário, enfrentem o preconceito. Há muita gente cá fora disposta a acolher-vos. Libertem-se.",0
Todos para a frente da Ucrânia... era lindo.,1
Misturar temas é apenas não ter capacidade cognitiva para perceber que o facto de um grupo merecer liberdade não invalida a necessidade de liberdade de outro.,0
"Gente, não... isso é plástico, desculpa lá. Isso é o teu cabelo? A tua mãe fez-te assim? Isso foi feito na China, daí seres tão besta, isso é tudo poliéster.",0
Qual peruca?,0
Cala-te? Foi essa peruca que te disse isso?,0
"Pela ideia geral, todos tínhamos jeito para a tropa, agora digam-me: onde iria ficar a peruca caso fosse para a tropa?",0
🤦🏻🤦🏻🤦🏻🤦🏻 Parvoíce.,1
"Não há por aqui ninguém interessado em organizar uma Tuga Pride, uma White Pride, uma Not Competitive People Pride, uma Catolican Pride, enfim, tudo aquilo que corre sérios riscos no mundo pós-moderno e de modo a lutar contra a agenda impositiva e doente? Ter orgulho no que não se escolhe é muito à frente!",1
"Eu concordo totalmente com as lésbicas. Se eu fosse mulher, também seria lésbica. As mulheres são maravilhosas.",0
Quantos comentários retrógrados e hipócritas dos homens de família. O mundo está a ficar muito chato!,0
"Querem impor a ideologia perversa... vivam a vossa vida como querem, mas deixem as crianças em paz!!!",1
"Carnaval em julho, que esquisito 😂",1
BANDO DE RIDÍCULOS.,1
Devemos ser sempre quem somos e queremos ser 💚,0
"Agora temos carnaval todos os fins de semana, com matrafonas e tudo...",1
😢😢😢😢 Um horror.,1
Abriram as portas do manicómio e perderam as chaves 😂 haja paciência! Mas porque é que se manifestam? Já não fazem o que dizem ser e então? 🧐,1
"Fdx, e fazer filhos está quieto... pois temos de os importar... geração de m....",1
"Excelente, estamos (os heterossexuais) convosco.",0
Narcisismo exacerbado.,1
Que palhaçada.,1
Vergonha de comentários.,0
Os comentários a este post mostram o porquê da necessidade da Pride.,0
Viva o Amor.,0
Parece o carnaval 😂😂,1
Siga para a frente na Ucrânia!,1
Vivaaaaaaa 🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈,0
"Pois é, já não é pedófilo, é sexualmente atraído por menores.",1
Fuck yeah.,0
A boa coisa é que não se reproduzem.,1
Para o armário... isto é uma ofensa aos valores da humanidade... raios que os partam.,1
"Ide trabalhar para pagar a terapia que precisais e vivam o que quiserem sem impor aos demais as vossas vontades, decisões ou paranoias! CHEGA de atirar choros de quem se limita simplesmente a punir o mundo pela desordem psíquica que têm!!!",1
"Se vocês não tivessem ligação direta com os LGBT era possível respeitar, mas uma vez que está tudo ligado, então não.",1
Deficientes.,1
Ninguém vos quer enfiar em lugar nenhum. Tratem-se apenas. O pior doente é o que não se quer tratar.,1
"Uma doença mental... retiraram-na como doença mental, mas claramente é, sem dúvida, uma doença mental, um grave desvio de personalidade!!",1
"Aberrações em bicos dos pés porque não passam sem o circo para manifestarem as suas preferências de cama. Felizmente, nem todos são assim e há até quem critique o espetáculo. Tristes!",1
"👏👏👏 É isso mesmo, não tenham medo nem vergonha de serem como são. Quem se incomoda é porque tem o rabo preso 😂",0
Fds 🤢 Tomara eu que fizessem era um genocídio em vez destas manifestações 😂,1
